"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
389	189	73	233	121	249	303	273	247	1288	1033	1230	970	1350	911	1022	1096	0.0410080259203718	1.89153321148313
394	340	256	233	161	582	693	887	318	1948	1758	2145	2099	2762	2275	2881	1896	0.0077350865670458	1.95722469377968
395	530	220	350	565	749	650	1058	956	5583	4585	5010	4420	5995	5004	5657	5085	0.0109869073992644	1.89966824857162
396	644	990	545	525	666	910	750	743	26836	26769	23720	21893	47580	50596	44167	41309	0.00427119534618718	-1.58611856029038
397	113	110	77	202	416	303	170	141	511	769	389	505	791	542	461	371	0.039174671194954	1.93937808727354
398	757	807	662	929	374	390	477	460	9970	6897	8603	6411	8145	7506	8238	7801	0.00438553753988196	-1.8533585640944
399	719	807	506	727	624	346	716	389	5805	3861	5222	3730	8439	6938	7465	5813	0.0364508385404814	-2.02922792185378
400	151	293	233	242	291	520	546	389	3524	4076	3438	5052	4483	4863	5688	3573	0.00394952302161045	1.63730662994295
401	492	330	233	202	1040	607	546	814	6655	5595	5845	4699	10204	7495	8150	8143	0.00596098823301914	1.63547315752844
402	568	183	155	363	374	693	580	495	17759	15285	14170	12991	12920	11760	13186	10547	0.0498521669436569	2.15042741489501
403	340	256	116	202	499	477	307	141	1608	1264	1113	931	1395	975	990	566	0.0146427585788376	1.90131438417469
404	7236	6456	6780	5901	5911	4336	7269	4001	12830	10671	11396	9396	11479	8886	12753	7235	0.0137344995803259	-1.12557608367958
407	757	1430	1130	1778	541	563	580	247	6705	6562	5067	6008	6150	4176	6172	4957	0.0290604682136566	-2.19199694703856
409	303	183	194	202	333	650	682	495	2119	3006	2347	2928	2798	3804	3074	2915	0.0427573465720564	1.90523768480795
410	189	330	233	242	166	86	102	70	3382	2974	2657	3233	2775	1770	2925	2145	0.0279737685462925	-1.82668343430653
411	947	403	740	1091	1748	910	1467	1203	13340	12228	14518	13472	11657	11243	11555	12540	0.00727763882773475	1.94697969214879
415	265	256	350	282	457	823	614	849	3234	2985	2851	2916	3723	3097	3839	3482	0.0126595087791018	1.93985083959798
416	1704	1760	2377	1899	1040	1127	2013	1274	6712	7128	8429	9177	6802	6299	8754	8016	0.00283393661291736	-1.37950885132713
418	9016	9354	7599	10064	8035	7719	8464	8214	17373	16325	14841	16607	18056	15658	16827	17330	0.0179481899441363	-1.15237379724564
420	871	550	545	646	499	607	580	424	20264	20380	22732	19596	38430	26398	27628	28326	0.0479768993472919	-1.7237316086514
424	530	440	584	687	957	1951	1228	1416	5959	7216	6423	7720	8326	11686	12410	10569	0.0483152725741774	1.53366588457623
425	265	403	545	404	1082	693	443	1026	2706	2401	2997	2083	3865	2168	2478	2959	0.0307409322752159	1.72615105622288
428	113	73	116	80	249	130	409	212	719	883	759	668	935	670	904	813	0.000755115908745751	2.24745074536042
429	1401	696	662	1050	291	737	511	566	46726	33190	44165	26272	58286	46078	63992	56652	0.0152621035531053	-2.56673478774724
430	265	550	584	323	166	130	204	177	4080	2684	3092	3050	4382	3423	3592	3471	0.00477887628710825	-2.7174883438794
431	416	183	233	202	791	693	546	495	2104	1746	1579	1643	2519	3320	2384	2516	0.000233135976566551	1.66467107992198
434	681	330	311	444	1332	650	1092	1026	2426	2201	2064	2442	4411	2623	3445	3628	0.0154008920356167	1.54010860662537
435	227	256	467	161	124	130	102	141	75772	51357	66805	40418	62449	43368	51193	70816	0.00719925625007762	-2.02167341287837
436	2652	2164	3351	4648	4995	6071	5972	2549	10523	7785	10845	9025	9570	8981	9648	5847	0.0480381302789139	1.67260370033193
438	151	330	194	282	624	563	784	566	1968	1834	1929	1937	3304	3064	2973	2861	0.0389123879490665	1.69386060264667
440	303	366	233	282	83	216	307	177	5942	5822	7085	4352	6938	6195	8532	6809	0.0477639848003349	-1.94334586883868
442	492	476	740	363	666	477	614	424	61565	68127	61701	60628	41633	43368	47255	35408	0.0132842894498553	1.60179540979937
443	416	586	194	525	999	1561	1092	885	8014	7722	6494	10302	13322	16434	13651	11647	0.0181437746896059	1.6182602009968
445	568	366	194	404	791	346	716	354	13216	11833	10824	12248	41633	24781	37721	27236	0.0261524570324622	-1.82273339916533
446	2386	1100	1363	2101	3247	3642	3651	3611	9547	8665	8856	8721	11639	12561	14320	11393	0.0237680772639661	1.52334501320279
449	151	183	77	121	374	390	307	672	1156	1637	1129	1393	2270	2551	2670	3800	0.00605416636618274	1.55117651190456
450	189	513	311	646	874	1301	750	495	11143	13880	10750	13759	11814	14297	12514	12090	0.0483850613292616	1.9858972445454
452	568	403	389	202	582	346	443	424	11143	8585	11808	9186	25341	16521	26098	24993	0.00277692079156696	-1.87827141194093
453	303	256	311	242	166	346	307	141	10103	11164	10391	14265	13877	18260	18068	17704	0.00734835549468696	-1.81117809333318
454	719	696	857	687	749	737	1399	1310	8274	8712	11744	9412	6631	8191	9027	7318	0.0256667307557885	1.6429648690285
455	151	366	389	363	124	346	204	141	2658	2565	3976	1855	6244	5178	6605	5058	0.0016147236872687	-3.25638319016028
456	340	586	545	889	541	737	887	956	2384	3452	2302	3381	2164	2559	2557	2426	0.000120758473681974	1.58383676337487
457	1250	1320	1208	1172	2081	2992	2457	1912	8804	9433	7457	5503	9548	8598	10730	7933	0.0244810543585162	1.55914371072037
458	303	403	389	323	291	346	341	141	9777	9607	12989	6598	18214	11191	14220	14163	0.0437916559132337	-1.91693698933293
460	454	366	545	525	957	303	853	885	2331	1940	2549	2526	2875	1541	2437	2263	0.0132774828677684	1.53208226137232
461	265	366	116	202	457	390	307	460	9822	9171	8350	6519	11742	6505	7491	8852	0.00865901848915425	1.77875753578688
462	530	586	818	606	624	997	887	956	3315	3057	3099	3093	2623	2256	2987	2390	0.0147923223714556	1.65961460521668
464	265	183	116	282	374	520	238	672	15600	12228	16701	15718	13382	13344	14053	15289	0.000494813139183097	2.23220465184239
465	2348	2017	1831	1778	2456	2688	2320	2655	3222	2954	2689	2706	3994	4572	4093	3928	0.0382473353562865	-1.12587460728715
469	1780	770	1480	1050	749	954	1228	601	6546	4097	5288	3562	5592	4867	5878	3307	0.0452286948496752	-1.42541680095332
470	265	183	311	242	582	433	648	247	1119	1319	1267	1212	1517	1191	1400	1131	0.0176510580068895	1.70341105191747
471	227	256	194	202	582	693	307	495	6314	4668	4871	3368	7195	6938	6022	5697	0.00584892722779629	1.66131058247986
473	378	586	623	767	333	867	648	283	1745	2016	2203	2121	2947	3614	3102	2750	0.0314528463561828	-1.77896456897911
476	189	330	233	161	374	520	546	247	3006	2559	2361	2607	2620	1758	2716	1770	5.43747565515024e-06	2.21004431669916
477	378	403	350	242	624	260	546	495	6765	6508	7306	4490	5292	4646	6205	4348	0.0357367841852076	1.62860904608275
478	492	476	311	525	874	910	341	495	3731	4111	4653	5254	12670	12143	12640	8696	0.000918420836020693	-1.87414030289727
479	303	476	467	646	582	997	887	708	2832	2838	2783	3036	2973	3358	3157	3147	0.0121192884259844	1.53740360541504
480	5607	5649	7131	4567	4204	4336	6552	5346	14992	15024	17267	14228	14600	17558	18510	18892	0.00952127723359235	-1.27071054469722
483	644	807	1052	1010	1498	2818	2866	1097	6572	4559	6415	4374	6092	6010	6205	4611	0.0168381191260922	2.0351981826814
484	227	146	350	161	582	780	716	354	4133	2717	2851	2413	4981	4565	5308	3340	0.0243633359334047	1.81308583458915
485	151	586	428	565	1790	1431	1433	2407	644	1210	1071	970	2978	2385	2286	3540	0.0332715893361027	1.53094318434446
488	416	330	155	202	166	86	307	106	3858	3085	2834	3425	4061	4336	5119	3662	0.0461908708106069	-2.11376973487399
492	833	366	584	970	582	563	1092	1310	5209	7336	5904	8981	3938	3758	5460	6359	0.0377541874234603	1.76316518445227
493	113	146	155	282	416	390	341	743	1833	1930	1751	1616	2602	2065	2306	3364	0.0077757352820203	1.88975214280169
495	113	73	233	80	291	346	307	212	874	1222	954	951	1414	1451	1243	742	0.0389586889969763	2.04376153981123
496	530	513	194	202	291	173	238	141	2979	3131	2292	2846	4285	3771	4507	3218	0.00554867000085755	-2.19035639136137
497	227	440	155	485	666	130	204	495	2738	2316	2078	2462	1249	739	715	1009	0.0272512277568646	2.46806770438468
498	303	733	701	1212	124	477	511	424	1023	2164	2106	2846	1665	1538	2265	2072	0.0388305604467817	-1.84189517903779
503	113	256	155	363	83	303	136	283	549	1211	1053	1352	1081	1668	1606	2113	0.0111752991025418	-1.77361885412175
508	113	220	116	121	208	130	136	70	3666	4152	4871	4330	1794	1913	1664	1686	0.0208262030731347	2.14317482926235
509	113	110	77	80	249	346	170	247	1196	1170	1199	1525	1746	1148	1483	1347	0.00569143455109287	2.29989188136782
511	151	293	350	161	374	1214	1023	708	4095	4020	3731	4369	5132	5494	5656	5576	0.00103044607312764	2.48468221306758
517	416	1210	311	970	208	910	341	177	1270	2440	1640	1879	2238	3076	2774	2082	0.0130482849734567	-2.55118882871928
519	378	256	272	282	832	1214	716	637	4857	4279	4785	4963	7639	7019	8431	6780	0.0101612238755994	1.76093881991159
520	1288	2237	1441	2101	3497	3426	2730	3222	11201	8915	10083	7961	11173	10706	11144	10006	0.0255915255177342	1.62185589025652
521	189	440	350	242	582	823	614	318	1271	1283	1188	888	1394	1691	1399	1062	0.0381312217315578	1.57876985717757
523	227	256	116	80	249	303	341	177	9092	6584	6494	5389	6573	6899	7261	5532	0.0180534222456878	1.73004799764236
525	265	146	116	161	208	650	375	814	3683	2717	2487	2887	3252	3895	3508	4176	0.035414018382595	2.06507925183783
526	1629	2311	1831	1899	582	2341	1194	778	5522	5941	6381	4986	4483	7118	5688	4899	0.0171066421277547	-1.69977543823359
527	719	476	623	646	499	260	307	354	14396	13247	14845	9798	13502	11827	13354	10116	0.000901793663914699	-1.65282503118579
529	151	293	155	121	166	563	716	637	2047	1686	1640	1894	1699	1734	2714	2213	0.012467264381431	2.28153309556375
530	833	807	935	687	541	867	853	1239	10042	9607	9844	7388	14627	13344	17412	14082	0.0313756262856199	-1.54538360323147
531	2235	1760	2143	2020	1373	867	2116	1274	3316	2768	3626	2687	2352	2080	3586	2409	0.0393799637359933	-1.25474354077156
532	8448	7336	8417	7639	7452	7676	10887	8179	20309	16712	20630	15590	27601	20579	27218	22286	0.0309960813999093	-1.25182750959246
534	303	330	311	444	208	303	477	283	30309	23582	28341	22230	52041	43368	47780	35408	0.0124704540161592	-1.88996959586381
541	9509	7556	6507	8851	7493	6852	8600	9135	16920	14312	13614	15639	17716	16551	20141	17203	0.0124045507327379	-1.19190065186761
543	265	330	467	444	666	607	989	637	1532	1701	1848	1355	2141	1780	2133	1985	0.022240714432823	1.53271015601667
545	454	256	467	323	582	693	477	424	5051	2422	3682	3021	3885	2668	2437	3399	0.0132394315071614	1.63598199515166
546	340	256	272	323	499	346	511	424	4802	8559	6199	11150	5877	6802	6648	4883	0.0150911918591047	1.78395754016222
548	151	256	116	242	333	607	443	212	2971	2355	2851	2474	2622	2710	2083	2309	0.0425193641195273	2.10380729469623
550	378	586	506	606	1124	910	1228	1203	6532	6178	6665	4736	9213	8059	8903	7920	0.0210514530421992	1.51471535501642
553	492	330	155	404	208	346	170	354	2914	2276	2259	2768	3717	4180	4490	3505	0.00531179930870006	-1.90771180639483
555	189	183	116	80	541	260	170	177	1661	1410	1343	1684	2209	1193	1145	1594	0.00033477837669928	1.94368807561045
557	227	220	233	323	582	303	853	389	851	679	798	626	1040	803	1074	566	0.0235333420358287	1.70521572280774
558	1780	1870	1285	1576	1290	2949	1842	1734	12903	12727	11482	12219	8066	10134	9908	9585	0.00902073010355212	1.51600270593513
559	113	73	350	242	208	260	477	212	3157	2934	3985	2664	2478	1794	3250	2260	0.0480634544296471	2.05934162706965
560	113	146	155	363	208	390	375	495	1369	1686	1513	2508	1734	2584	2234	2284	0.000131076381726105	1.57197723864308
561	340	403	389	404	416	216	307	212	4108	4692	4932	4755	4677	4928	6143	4426	0.0366584551475164	-1.48865310099249
562	113	110	77	121	124	173	102	70	3071	3439	2514	2526	2153	2065	2178	1445	0.0394435971296766	1.58272891913814
563	606	293	662	323	416	303	307	354	2331	2038	2905	1879	977	1190	1195	1079	0.00721899386120182	1.56976630612675
564	454	550	701	282	416	910	887	778	2554	2684	2761	1924	2325	2254	2437	2088	0.0343975496228775	1.61793763069037
565	416	660	350	727	749	1170	921	1310	5708	4315	4384	4436	5132	5471	5147	4943	0.00187061963655014	1.77107672463202
567	113	183	506	323	707	520	989	318	3551	3275	3311	3592	3846	3043	4340	3124	0.0389811416675244	2.17355025682912
568	416	146	116	161	208	173	273	283	3931	3965	3340	4041	2338	2224	1728	1696	0.0450208369880518	2.20571819001542
571	17389	16471	15042	15399	11657	18474	16313	10409	29474	28204	26251	26922	27428	31635	31615	22581	0.0440684407211247	-1.1752228417695
574	606	476	857	323	624	867	648	460	5665	5183	6037	4490	3927	4015	4411	3712	0.0269952980826333	1.56338635181782
577	75	183	77	242	208	216	477	424	1222	1085	974	1434	1101	1426	1999	1485	0.0461540753497697	1.86091230760309
580	265	880	350	646	333	130	307	141	5200	3778	4175	4172	6284	5913	8083	5901	0.0132892220181072	-2.83513444382572
583	606	586	779	767	166	390	682	495	1383	1561	1462	1333	603	1279	1569	1347	0.00392835906488729	-1.38182659355747
584	113	293	155	404	333	260	170	106	2273	2466	2135	2420	5742	6505	5018	4085	0.0479148565169098	-2.21421572783669
586	227	403	311	242	541	607	477	247	8118	7472	6235	8362	5306	4464	7963	4589	0.0139706509637297	2.0713481993068
