"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
942	416	476	272	121	707	1691	784	637	5021	4456	3842	4041	8229	8290	7621	6310	0.0425762335198193	1.71916393942241
944	113	73	233	80	624	216	204	177	3666	3668	4175	4254	3061	4091	3592	3105	0.0239872495368133	2.47468569310402
947	189	403	350	282	291	780	819	495	5261	4747	4804	4100	6071	5959	6449	5110	0.000701304871404322	1.52148231282982
951	227	586	194	444	166	346	136	389	3201	3353	4235	3528	5372	5595	5250	4280	0.00444496785290296	-1.9756398651402
955	1060	1834	1987	1293	416	1214	1535	495	5554	6324	5845	5389	4042	5544	5504	3727	0.00682404286772115	-1.51307082763754
959	454	843	584	202	249	563	477	141	45463	44407	44964	40418	49959	56378	59726	47210	9.24640260895237e-05	-1.80413173077169
962	416	110	311	161	499	216	375	212	5708	6473	6235	5389	4758	4818	4365	4085	0.00301578496543702	1.8000132770526
963	530	330	545	242	249	130	238	141	5828	6349	6270	8362	4713	4486	5083	4883	0.0170174326697311	-1.55195258551989
977	416	623	545	1172	374	563	443	778	4386	5518	5866	4614	10127	5637	7394	7868	0.017568748245262	-1.81269319230685
988	265	220	77	282	249	86	68	141	26520	18342	19484	13472	27755	17347	22752	20233	0.0340210006063563	-1.77633478812464
1022	303	146	467	404	249	173	477	389	23314	18342	22268	20209	27755	28912	39817	27820	0.000976788311847757	-1.50900315068962
1036	2045	2898	2455	2950	1748	2949	2627	3009	6034	6383	6546	7196	7948	7843	7684	7962	0.0358815759779011	-1.21753637402779
1052	75	183	77	242	166	563	136	283	15154	16674	15587	20209	41633	70473	68258	47210	0.0118863771101316	-1.68249597277428
1065	189	110	116	242	166	130	307	354	15785	13756	10628	11023	11895	10842	11376	10414	0.017312026032647	1.59837355304829
1072	227	330	311	404	208	260	443	283	4639	5595	4453	5774	5478	7434	5995	6437	0.0481894153482275	-1.33848170237221
1076	454	586	350	565	416	346	238	389	5225	5194	5157	4795	4898	4505	4266	4280	0.0228155626464554	-1.24140018054574
1085	1439	917	896	767	1124	823	853	1310	3050	2770	3307	1959	3889	3040	3661	3438	0.0491508395108673	-1.2424964635999
1094	189	73	77	242	291	260	170	318	10523	9171	7793	6928	11208	9293	8981	8612	0.0433710750107726	1.73604762198384
1153	1742	1907	1870	1657	791	737	1262	1664	9846	8997	8388	6655	5816	5461	8146	6351	0.0419822288122664	-1.2889521875342
1156	1704	586	1285	1010	707	563	1228	1203	2804	1264	1891	1393	1518	1345	1893	2176	0.0194542457595115	-1.1883347890289
1161	454	550	233	242	499	737	443	318	10332	12228	11134	11548	20816	21684	24648	22762	0.00849790726194839	-1.43436728649978
1167	113	256	233	202	166	390	204	177	5682	5971	5995	6968	10408	10008	11376	8430	0.0399339394446128	-1.41604743866968
1181	189	330	311	242	208	260	409	212	63143	55026	51959	48502	69388	65052	81909	53112	0.0340237989847911	-1.23180420338507
1188	113	220	194	323	208	477	204	247	1005	1170	1188	1816	2739	2385	2275	2065	0.0431921196667216	-1.37858857918362
1239	681	843	1480	1414	1373	1344	1672	1947	3646	3388	4584	4448	7426	5845	7177	7404	0.0496491608866808	-1.16618701877021
1247	75	330	77	161	208	563	409	318	3988	4126	3542	3759	6308	5752	6300	5690	0.0282507758885277	1.66436017681828
1291	1970	2201	1597	2425	1207	1908	2218	2124	6314	5777	4604	4690	5513	5547	6430	5351	0.0426533641398128	-1.19766940786934
1361	416	256	389	485	457	346	443	460	7311	7336	6958	7132	9540	9376	9439	8524	0.047323928581973	-1.15029902867136
1403	265	440	350	363	291	520	443	460	3083	2684	2718	3531	3938	4097	4392	4342	0.0440434956266863	-1.16884757098032
1768	227	293	194	404	333	607	477	601	1926	1358	1343	1820	3469	2976	3250	3168	0.0493092142785067	-1.10924487241006
